candidate,excitation,resolution,lifetime_class,state_meaning,alternative_resolution_states,evidence,verdict,reason,id
SF6-,ground,resolved,not_applicable,electronic ground state,,exact: SF6-,pass,an exact reviewed state record exists,SF6-@ground
ArF+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,ArF+@ground
ArF-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,ArF-@ground
F+,ground,resolved,not_applicable,electronic ground state,,exact: F+,pass,an exact reviewed state record exists,F+@ground
F2+,ground,resolved,not_applicable,electronic ground state,,exact: F2+,pass,an exact reviewed state record exists,F2+@ground
O2F,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,O2F@ground
O2F+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,O2F+@ground
O2F-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,O2F-@ground
OF,ground,resolved,not_applicable,electronic ground state,,exact: FO,pass,an exact reviewed state record exists,OF@ground
OF+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,OF+@ground
OF-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,OF-@ground
SF2,ground,resolved,not_applicable,electronic ground state,,exact: SF2,pass,an exact reviewed state record exists,SF2@ground
SF2+,ground,resolved,not_applicable,electronic ground state,,exact: SF2+,pass,an exact reviewed state record exists,SF2+@ground
SF2-,ground,resolved,not_applicable,electronic ground state,,exact: SF2-,pass,an exact reviewed state record exists,SF2-@ground
SF3,ground,resolved,not_applicable,electronic ground state,,exact: SF3,pass,an exact reviewed state record exists,SF3@ground
SF3+,ground,resolved,not_applicable,electronic ground state,,exact: SF3+,pass,an exact reviewed state record exists,SF3+@ground
SF3-,ground,resolved,not_applicable,electronic ground state,,exact: SF3-,pass,an exact reviewed state record exists,SF3-@ground
SOF3+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,SOF3+@ground
SOF3-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,SOF3-@ground
SOF4+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,SOF4+@ground
SOF4-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,SOF4-@ground
SOF5,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,SOF5@ground
SOF5+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,SOF5+@ground
SOF5-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,SOF5-@ground
O2F2,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,O2F2@ground
OF2,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,OF2@ground
S,ground,resolved,not_applicable,electronic ground state,,exact: S,pass,an exact reviewed state record exists,S@ground
S+,ground,resolved,not_applicable,electronic ground state,,exact: S+,pass,an exact reviewed state record exists,S+@ground
S-,ground,resolved,not_applicable,electronic ground state,,none,pass,positive electron affinity supports a bound parent anion,S-@ground
SF,ground,resolved,not_applicable,electronic ground state,,exact: SF,pass,an exact reviewed state record exists,SF@ground
SF+,ground,resolved,not_applicable,electronic ground state,,exact: SF+,pass,an exact reviewed state record exists,SF+@ground
SF-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,SF-@ground
SOF+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,SOF+@ground
SOF-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,SOF-@ground
SOF3,ground,resolved,not_applicable,electronic ground state,,exact: SOF3,pass,an exact reviewed state record exists,SOF3@ground
SOF4,ground,resolved,not_applicable,electronic ground state,,exact: SOF4,pass,an exact reviewed state record exists,SOF4@ground
O2F2+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,O2F2+@ground
O2F2-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,O2F2-@ground
OF2+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,OF2+@ground
OF2-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,OF2-@ground
SO,ground,resolved,not_applicable,electronic ground state,,exact: SO,pass,an exact reviewed state record exists,SO@ground
SO+,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record matches this candidate,SO+@ground
SO-,ground,resolved,not_applicable,electronic ground state,,none,unknown,no state record or electron affinity,SO-@ground
SOF,ground,resolved,not_applicable,electronic ground state,,exact: SOF,pass,an exact reviewed state record exists,SOF@ground
