id,equation,family,type,depth,consume,threshold_eV,electron_energy_cost_eV,rate_value,rate_unit,rate_basis,reverse_rate,frequency_upper_bound_s-1,relevance,delta_g_eV,status,source
SF_O1D_R121,SF + O_1D -> SO + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.7e-16,m3/s,dataset,,123130.49877267862,fast,-3.789708272135492,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF_O1D_R136,SF + O_1D -> SOF,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-16,m3/s,dataset,,72429.70516039919,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF_SF_to_S_SF2,SF + SF -> S + SF2,neutral_neutral,reactive_scattering,1,rate_coefficient,,,2.5e-17,m3/s,dataset,,18107.426290099796,fast,-2.6766856052096224,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF2_F2_to_SF3_F,SF2 + F2 -> SF3 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,6.999999999999999e-21,m3/s,dataset,,5.0700793612279424,comparable,-1.2578648465305142,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF2_O_R120,SF2 + O -> SOF + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.0999999999999999e-16,m3/s,dataset,,79672.6756764391,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF2_O_R135,SF2 + O -> SOF2,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-16,m3/s,dataset,,72429.70516039919,fast,-4.565123010556578,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF2_O1D_R120,SF2 + O_1D -> SOF + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.0999999999999999e-16,m3/s,dataset,,79672.6756764391,fast,,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF2_O1D_R135,SF2 + O_1D -> SOF2,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1e-16,m3/s,dataset,,72429.70516039919,fast,-6.5321229899172275,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF3_F2_to_SF4_F,SF3 + F2 -> SF4 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,6.999999999999999e-21,m3/s,dataset,,5.0700793612279424,comparable,-1.752179689518178,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
SF3_O_R119,SF3 + O -> SOF2 + F,neutral_neutral,reactive_scattering,1,rate_coefficient,,,1.9999999999999998e-17,m3/s,dataset,,14485.941032079838,fast,-2.1484451169363252,literature_supported,"A. Pateau et al., Journal of Vacuum Science & Technology A 32, 021303 (2014)."
