reactants,products,id,family,type,depth,status,verdict,decided
e + SF5,e + SF5*,cand_e_SF5_to_e_SF5*,electron,excitation,1,candidate,unknown,no
e + SF5,e + SF5_v,cand_e_SF5_to_e_SF5_v,electron,excitation,1,candidate,unknown,no
e + SF5,e + SF5+,e_SF5_ionization,electron,ionization,1,literature_supported,unknown,no
e + SF5*,e + SF5,cand_e_SF5*_to_e_SF5,electron,deexcitation,1,candidate,unknown,no
e + SF5*,e + SF3 + F2,cand_e_SF5*_to_e_SF3_F2,electron,dissociation,2,candidate,unknown,no
e + SF5*,e + SF4 + F,cand_e_SF5*_to_e_SF4_F,electron,dissociation,2,candidate,unknown,no
e + SF5*,e + e + SF3+ + F2,cand_e_SF5*_to_e_e_SF3p_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + SF5*,e + e + SF4+ + F,cand_e_SF5*_to_e_e_SF4p_F,electron,dissociative_ionization,2,candidate,unknown,no
e + SF5*,e + SF5*,cand_e_SF5*_to_e_SF5*,electron,elastic,2,candidate,unknown,no
e + SF5*,e + e + SF5+,cand_e_SF5*_to_e_e_SF5p,electron,ionization,2,candidate,unknown,no
e + SF5_v,e + SF5,cand_e_SF5_v_to_e_SF5,electron,deexcitation,1,candidate,unknown,no
e + SF5_v,e + SF3 + F2,cand_e_SF5_v_to_e_SF3_F2,electron,dissociation,2,candidate,unknown,no
e + SF5_v,e + SF4 + F,cand_e_SF5_v_to_e_SF4_F,electron,dissociation,2,candidate,unknown,no
e + SF5_v,e + e + SF3+ + F2,cand_e_SF5_v_to_e_e_SF3p_F2,electron,dissociative_ionization,2,candidate,unknown,no
e + SF5_v,e + e + SF4+ + F,cand_e_SF5_v_to_e_e_SF4p_F,electron,dissociative_ionization,2,candidate,unknown,no
e + SF5_v,e + SF5_v,cand_e_SF5_v_to_e_SF5_v,electron,elastic,2,candidate,unknown,no
e + SF5_v,e + e + SF5+,cand_e_SF5_v_to_e_e_SF5p,electron,ionization,2,candidate,unknown,no
e + SF6,e + SF4 + F2,cand_e_SF6_to_e_SF4_F2,electron,dissociation,0,candidate,unknown,no
e + SF6,e + SF2 + F2 + F,e_SF6_dissociation_SF2_F2_2F,electron,dissociation,0,literature_supported,unknown,no
e + SF6,e + SF3 + F,e_SF6_dissociation_SF3_3F,electron,dissociation,0,literature_supported,unknown,no
e + SF6,e + SF4 + F,e_SF6_dissociation_SF4_2F,electron,dissociation,0,literature_supported,unknown,no
e + SF6,e + SF5 + F,e_SF6_dissociation_SF5_F,electron,dissociation,0,literature_supported,unknown,no
e + SF6,e + SF + F2 + F,e_SF6_dissociation_SF_F2_3F,electron,dissociation,0,literature_supported,unknown,no
e + SF6,e + e + SF4+ + F2,cand_e_SF6_to_e_e_SF4p_F2,electron,dissociative_ionization,0,candidate,unknown,no
e + SF6,e + F+ + SF4 + F,e_SF6_dissociative_ionization_Fp_SF4_F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + SF2+ + F2 + F,e_SF6_dissociative_ionization_SF2p_F2_2F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + SF3+ + F,e_SF6_dissociative_ionization_SF3p_3F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + SF4+ + F,e_SF6_dissociative_ionization_SF4p_2F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + SF5+ + F,e_SF6_dissociative_ionization_SF5p_F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + SF+ + F2 + F,e_SF6_dissociative_ionization_SFp_F2_3F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + S+ + F2 + F,e_SF6_dissociative_ionization_Sp_F2_4F,electron,dissociative_ionization,0,literature_supported,unknown,no
e + SF6,e + SF6,e_SF6_elastic,electron,elastic,0,curated,unknown,no
e + SF6,e + SF6*,cand_e_SF6_to_e_SF6*,electron,excitation,0,candidate,unknown,no
e + SF6,e + SF6_v,cand_e_SF6_to_e_SF6_v,electron,excitation,0,candidate,unknown,no
e + SF6,e + e + SF6+,cand_e_SF6_to_e_e_SF6p,electron,ionization,0,candidate,unknown,no
e + SF6*,e + SF6,cand_e_SF6*_to_e_SF6,electron,deexcitation,0,candidate,unknown,no
e + SF6*,e + SF4 + F2,cand_e_SF6*_to_e_SF4_F2,electron,dissociation,1,candidate,unknown,no
e + SF6*,e + SF5 + F,cand_e_SF6*_to_e_SF5_F,electron,dissociation,1,candidate,unknown,no
e + SF6*,e + e + SF4+ + F2,cand_e_SF6*_to_e_e_SF4p_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + SF6*,e + e + SF5+ + F,cand_e_SF6*_to_e_e_SF5p_F,electron,dissociative_ionization,1,candidate,unknown,no
e + SF6*,e + SF6*,cand_e_SF6*_to_e_SF6*,electron,elastic,1,candidate,unknown,no
e + SF6*,e + e + SF6+,cand_e_SF6*_to_e_e_SF6p,electron,ionization,1,candidate,unknown,no
e + SF6_v,e + SF6,cand_e_SF6_v_to_e_SF6,electron,deexcitation,0,candidate,unknown,no
e + SF6_v,e + SF4 + F2,cand_e_SF6_v_to_e_SF4_F2,electron,dissociation,1,candidate,unknown,no
e + SF6_v,e + SF5 + F,cand_e_SF6_v_to_e_SF5_F,electron,dissociation,1,candidate,unknown,no
e + SF6_v,e + e + SF4+ + F2,cand_e_SF6_v_to_e_e_SF4p_F2,electron,dissociative_ionization,1,candidate,unknown,no
e + SF6_v,e + e + SF5+ + F,cand_e_SF6_v_to_e_e_SF5p_F,electron,dissociative_ionization,1,candidate,unknown,no
e + SF6_v,e + SF6_v,cand_e_SF6_v_to_e_SF6_v,electron,elastic,1,candidate,unknown,no
e + SF6_v,e + e + SF6+,cand_e_SF6_v_to_e_e_SF6p,electron,ionization,1,candidate,unknown,no
e + SF_v,e + SF,cand_e_SF_v_to_e_SF,electron,deexcitation,1,candidate,unknown,no
e + SF_v,e + F + S,cand_e_SF_v_to_e_F_S,electron,dissociation,2,candidate,unknown,no
e + SF_v,e + e + F+ + S,cand_e_SF_v_to_e_e_Fp_S,electron,dissociative_ionization,2,candidate,unknown,no
e + SF_v,e + SF_v,cand_e_SF_v_to_e_SF_v,electron,elastic,2,candidate,unknown,no
e + SF_v,e + e + SF+,cand_e_SF_v_to_e_e_SFp,electron,ionization,2,candidate,unknown,no
e + SO,e + S + O_1D,cand_SO_diss_O_1D,electron,dissociation,2,candidate,unknown,no
e + SO,e + S + O_1S,cand_SO_diss_O_1S,electron,dissociation,2,candidate,unknown,no
e + SO,e + O + S_1D,cand_SO_diss_S_1D,electron,dissociation,2,candidate,unknown,no
e + SO,e + O + S_1S,cand_SO_diss_S_1S,electron,dissociation,2,candidate,unknown,no
e + SO,e + O + S,cand_e_SO_to_e_O_S,electron,dissociation,2,candidate,unknown,no
e + SO,e + e + O+ + S,cand_e_SO_to_e_e_Op_S,electron,dissociative_ionization,2,candidate,unknown,no
e + SO,e + SO,cand_e_SO_to_e_SO,electron,elastic,2,candidate,unknown,no
e + SO,e + SO*,cand_e_SO_to_e_SO*,electron,excitation,2,candidate,unknown,no
e + SO,e + SO_v,cand_e_SO_to_e_SO_v,electron,excitation,2,candidate,unknown,no
e + SO,e + e + SO+,cand_e_SO_to_e_e_SOp,electron,ionization,2,candidate,unknown,no
e + SO*,e + SO,cand_e_SO*_to_e_SO,electron,deexcitation,2,candidate,unknown,no
e + SO*,e + O + S,cand_e_SO*_to_e_O_S,electron,dissociation,3,candidate,unknown,no
e + SO*,e + e + O+ + S,cand_e_SO*_to_e_e_Op_S,electron,dissociative_ionization,3,candidate,unknown,no
e + SO*,e + SO*,cand_e_SO*_to_e_SO*,electron,elastic,3,candidate,unknown,no
e + SO*,e + e + SO+,cand_e_SO*_to_e_e_SOp,electron,ionization,3,candidate,unknown,no
e + SO2,e + S + O2_a1Delta,cand_SO2_diss_O2_a1Delta,electron,dissociation,3,candidate,unknown,no
e + SO2,e + S + O2_b1Sigma,cand_SO2_diss_O2_b1Sigma,electron,dissociation,3,candidate,unknown,no
e + SO2,e + SO + O_1D,cand_SO2_diss_O_1D,electron,dissociation,3,candidate,unknown,no
e + SO2,e + SO + O_1S,cand_SO2_diss_O_1S,electron,dissociation,3,candidate,unknown,no
e + SO2,e + O2 + S_1D,cand_SO2_diss_S_1D,electron,dissociation,3,candidate,unknown,no
e + SO2,e + O2 + S_1S,cand_SO2_diss_S_1S,electron,dissociation,3,candidate,unknown,no
