id,formula,charge,state_kind,depth,status,reactions,ready,missing,n_Ar,n_F,n_O,n_S,mass_amu,polarizability_A3,dipole_moment_D,collision_radius_A,well_depth_K,enthalpy_formation_eV,entropy_J_mol_K,ionization_energy_eV,electron_affinity_eV,vibrational_quantum_eV
SOF2,F2OS,0,ground,2,literature_supported,132,no,ionization_energy_eV,0,2,1,1,86.055,3.927,,,,-5.637334,278.7,,,
SOF2*,F2OS,0,excited,3,candidate,43,no,enthalpy_formation_eV|ionization_energy_eV,0,2,1,1,86.055,3.927,,,,,,,,
SOF2+,F2OS,1,ground,3,candidate,12,no,enthalpy_formation_eV|ionization_energy_eV,0,2,1,1,86.055658,,,,,,,,,
SOF2_v,F2OS,0,excited,3,candidate,99,no,enthalpy_formation_eV|ionization_energy_eV,0,2,1,1,86.055,3.927,,,,,,,,
SOF3,F3OS,0,ground,2,literature_supported,117,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.053,,,,,,,,,
SOF3*,F3OS,0,excited,3,candidate,43,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.053,,,,,,,,,
SOF3+,F3OS,1,ground,3,candidate,6,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.054061,,,,,,,,,
SOF3_v,F3OS,0,excited,3,candidate,99,no,enthalpy_formation_eV|ionization_energy_eV,0,3,1,1,105.053,,,,,,,,,
SOF4,F4OS,0,ground,2,literature_supported,114,no,enthalpy_formation_eV|ionization_energy_eV,0,4,1,1,124.051,,,,,,,,,
SOF4*,F4OS,0,excited,3,candidate,43,no,enthalpy_formation_eV|ionization_energy_eV,0,4,1,1,124.051,,,,,,,,,
SOF4+,F4OS,1,ground,3,candidate,3,no,enthalpy_formation_eV|ionization_energy_eV,0,4,1,1,124.052464,,,,,,,,,
SOF4_v,F4OS,0,excited,3,candidate,99,no,enthalpy_formation_eV|ionization_energy_eV,0,4,1,1,124.051,,,,,,,,,
SOF_v,FOS,0,excited,3,candidate,97,no,enthalpy_formation_eV|ionization_energy_eV,0,1,1,1,67.057,,,,,,,,,
SO_v,OS,0,excited,3,candidate,103,no,ionization_energy_eV,0,0,1,1,48.059000000000005,,1.55,,,0.198895,,,,
S_1D,S,0,excited,2,literature_supported,57,no,ionization_energy_eV,0,0,0,1,32.06,2.8748,0.0,,,4.018417,,,,
S_1S,S,0,excited,2,literature_supported,62,no,ionization_energy_eV,0,0,0,1,32.06,2.8748,0.0,,,5.62294,,,,
