species,formula,charge,excitation,resolution,lifetime_class,state_label,state_symbol,state_meaning,alternative_resolution_states,structure_scope,origin,depth,state_verdict,thermochemistry_verdict,selected,state_energy_eV,lifetime_s,mass_amu,enthalpy_formation_eV,ionization_energy_eV,electron_affinity_eV,id
SF3-,SF3,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,pass,pass,true,0.0,,,,,,SF3-@ground
SOF3+,SOF3,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF3+@ground
SOF3-,SOF3,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF3-@ground
SOF4+,SOF4,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF4+@ground
SOF4-,SOF4,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF4-@ground
SOF5,SOF5,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF5@ground
SOF5+,SOF5,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF5+@ground
SOF5-,SOF5,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,2,unknown,unknown,true,,,,,,,SOF5-@ground
O2F2,O2F2,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,3,unknown,unknown,true,,,,,,,O2F2@ground
OF2,OF2,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,3,unknown,unknown,true,,,,,,,OF2@ground
S,S,0,ground,resolved,not_applicable,ground,,electronic ground state,,not_applicable,mechanical,3,pass,pass,true,0.0,,,2.872976,10.36001,2.077104,S@ground
S+,S,1,ground,resolved,not_applicable,ground,,electronic ground state,,not_applicable,mechanical,3,pass,pass,true,0.0,,,,,,S+@ground
S-,S,-1,ground,resolved,not_applicable,ground,,electronic ground state,,not_applicable,mechanical,3,pass,unknown,true,,,,,,,S-@ground
SF,SF,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,3,pass,pass,true,0.0,,,,,,SF@ground
SF+,SF,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,3,pass,pass,true,0.0,,,,,,SF+@ground
SF-,SF,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,3,unknown,unknown,true,,,,,,,SF-@ground
SOF+,SOF,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,3,unknown,unknown,true,,,,,,,SOF+@ground
SOF-,SOF,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,3,unknown,unknown,true,,,,,,,SOF-@ground
SOF3,SOF3,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,3,pass,unknown,true,0.0,,,,,,SOF3@ground
SOF4,SOF4,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,3,pass,unknown,true,0.0,,,,,,SOF4@ground
O2F2+,O2F2,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,4,unknown,unknown,true,,,,,,,O2F2+@ground
O2F2-,O2F2,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,4,unknown,unknown,true,,,,,,,O2F2-@ground
OF2+,OF2,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,4,unknown,unknown,true,,,,,,,OF2+@ground
OF2-,OF2,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,4,unknown,unknown,true,,,,,,,OF2-@ground
SO,SO,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,4,pass,pass,true,0.0,,,0.065295,,,SO@ground
SO+,SO,1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,4,unknown,unknown,true,,,,,,,SO+@ground
SO-,SO,-1,ground,resolved,not_applicable,ground,,electronic ground state,,formula_determined,mechanical,4,unknown,unknown,true,,,,,,,SO-@ground
SOF,SOF,0,ground,resolved,not_applicable,ground,,electronic ground state,,formula_only,mechanical,4,pass,unknown,true,0.0,,,,,,SOF@ground
