equation,reaction_type,family,process,origin,depth,consistency_verdict,state_verdict,thermochemistry_verdict,reaction_evidence_verdict,kinetics_verdict,delta_h_eV,delta_g_eV,threshold_eV,kinetic_data,selected,exclusion_reason,id
e + SF5 -> SF3- + F2,Dissociative electron attachment,electron,dissociative_attachment,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_d2ef1ce170e8
e + SF5 -> SF4- + F,Dissociative electron attachment,electron,dissociative_attachment,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_f826f9bdf4be
e + F2 -> F+ + F + 2 e,Dissociative ionization,electron,dissociative_ionization,mechanical,2,pass,pass,pass,unknown,unknown,19.068189725314177,,,,true,,rxn_c9dace256cc3
e + SF4 -> SF2+ + F2 + 2 e,Dissociative ionization,electron,dissociative_ionization,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_f808d8740185
e + SF4 -> SF3+ + F + 2 e,Dissociative ionization,electron,dissociative_ionization,mechanical,2,pass,pass,pass,pass,unknown,,,14.5,,true,,rxn_3486967fa3e6
e + SF5 -> SF3+ + F2 + 2 e,Dissociative ionization,electron,dissociative_ionization,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_54db57bb285a
e + SF5 -> SF4+ + F + 2 e,Dissociative ionization,electron,dissociative_ionization,mechanical,2,pass,pass,pass,pass,unknown,,,15.0,,true,,rxn_b95e3f10a4f3
e + O2+ -> 2 O,Dissociative recombination,electron,dissociative_recombination,mechanical,2,pass,pass,pass,pass,pass,-6.9035459999999995,,,rate_coefficient,true,,rxn_0344fa41a70f
e + SF4+ -> F + SF3,Dissociative recombination,electron,dissociative_recombination,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_b9d4e6ba7453
e + SF4+ -> SF2 + F2,Dissociative recombination,electron,dissociative_recombination,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_f88d0cb03bca
e + SF5+ -> F + SF4,Dissociative recombination,electron,dissociative_recombination,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_40b348bb158f
e + SF5+ -> SF3 + F2,Dissociative recombination,electron,dissociative_recombination,mechanical,2,pass,pass,unknown,unknown,unknown,,,,,true,,rxn_b71ec8f65cd1
e + SF6+ -> F + SF5,Dissociative recombination,electron,dissociative_recombination,mechanical,2,pass,unknown,unknown,unknown,unknown,,,,,true,,rxn_e641693b4633
