candidate,reaction_type,verdict,reason,id
e + O2* -> O2 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_6c5f72d907c5
e + SF6(v) -> SF6 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_745265260c96
e + SF6* -> SF6 + e,Electron-impact deexcitation (superelastic),pass,reaction is stoichiometrically and electrically consistent,rxn_a0bc75c5102a
e + Ar- -> Ar + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d83b0309c1b0
e + F- -> F + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d9c95009df17
e + F2- -> F2 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_f97da82531fe
e + O- -> O + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_08399feb356b
e + O2- -> O2 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_2c4965e684b5
e + SF4- -> SF4 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_c2b413a94c34
e + SF5- -> SF5 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_90ff9739acd0
e + SF6- -> SF6 + 2 e,Electron-impact detachment,pass,reaction is stoichiometrically and electrically consistent,rxn_2cf05cb6bd8e
e + F2 -> 2 F + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_68bca252f4bd
e + SF4 -> F + SF3 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_a5118f39fa42
e + SF4 -> SF2 + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_21bf364d9349
e + SF5 -> F + SF4 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_c15478b3fca5
e + SF5 -> SF3 + F2 + e,Electron-impact dissociation,pass,reaction is stoichiometrically and electrically consistent,rxn_9ef8296c3872
e + F2 -> F- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6dfafc324ea8
e + SF4 -> F- + SF3,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_3b5c19088613
e + SF4 -> F2- + SF2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_c0324b09801e
e + SF4 -> SF2- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_828bb29d0ab8
e + SF4 -> SF3- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_e0eff8f2bb68
e + SF5 -> F- + SF4,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_6a3fb1cbfcbd
e + SF5 -> F2- + SF3,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_72689af2c4b4
e + SF5 -> SF3- + F2,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_d2ef1ce170e8
e + SF5 -> SF4- + F,Dissociative electron attachment,pass,reaction is stoichiometrically and electrically consistent,rxn_f826f9bdf4be
e + F2 -> F+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_c9dace256cc3
e + SF4 -> SF2+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_f808d8740185
e + SF4 -> SF3+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_3486967fa3e6
e + SF5 -> SF3+ + F2 + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_54db57bb285a
e + SF5 -> SF4+ + F + 2 e,Dissociative ionization,pass,reaction is stoichiometrically and electrically consistent,rxn_b95e3f10a4f3
e + O2+ -> 2 O,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_0344fa41a70f
e + SF4+ -> F + SF3,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_b9d4e6ba7453
e + SF4+ -> SF2 + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_f88d0cb03bca
e + SF5+ -> F + SF4,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_40b348bb158f
e + SF5+ -> SF3 + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_b71ec8f65cd1
e + SF6+ -> F + SF5,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_e641693b4633
e + SF6+ -> SF4 + F2,Dissociative recombination,pass,reaction is stoichiometrically and electrically consistent,rxn_4fd9423e1662
e + Ar(m) -> Ar(m) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_6544183a7e7e
e + Ar(r) -> Ar(r) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_4a11bdf2a171
e + Ar+ -> Ar+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_ce746e5f7015
e + Ar- -> Ar- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_f4bf18f98733
e + F -> F + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_d014713c4a78
e + F- -> F- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_35e7d26760ba
e + F2 -> F2 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_90dfe4335d02
e + F2- -> F2- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_594dacc8bf96
e + O -> O + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_ec1ff806cd78
e + O+ -> O+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_ced7ed171430
e + O- -> O- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_c605c558423a
e + O2(v) -> O2(v) + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_098eb6a80062
e + O2* -> O2* + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_f3a308be1edd
e + O2+ -> O2+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_4392ff7146da
e + O2- -> O2- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_88181a7e6efe
e + SF4 -> SF4 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_c308ed67a1ee
e + SF4+ -> SF4+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_08a1ce8d71bd
e + SF4- -> SF4- + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_3408ad585b95
e + SF5 -> SF5 + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_e5be6ea862fa
e + SF5+ -> SF5+ + e,Electron elastic scattering,pass,reaction is stoichiometrically and electrically consistent,rxn_eb7f6a6e7edb
